Customer_ID,Age,Gender,Occupation,Monthly_Income,City,Account_Balance,Credit_Score,Existing_Loan,Credit_Card,Investment,Insurance,Monthly_Transactions,Digital_Usage,Product_Count,Credit_Card_Score,Investment_Score,Insurance_Score,Loan_Score,Max_Opportunity_Score,Next_Best_Product,Opportunity_Level,Customer_Value
C0073,44,Male,Business,215386,Bangalore,860471,781,No,Yes,Yes,Yes,83,High,3,70,70,50,100,100,Loan,High,High Value
C0074,46,Female,Salaried,78225,Hyderabad,154491,679,Yes,No,No,Yes,17,Low,2,55,75,70,25,75,Investment,Medium,Medium Value
C0075,45,Male,Salaried,117985,Bangalore,332556,671,Yes,No,Yes,Yes,44,Medium,3,75,70,70,45,75,Credit Card,Medium,High Value
C0076,49,Male,Salaried,113014,Bangalore,444609,693,No,No,Yes,Yes,47,Medium,2,75,70,50,75,75,Credit Card,Medium,High Value
C0077,35,Male,Business,216251,Chennai,401572,769,Yes,Yes,No,No,88,High,2,70,100,100,70,100,Investment,High,High Value
C0078,21,Female,Self-Employed,152305,Pune,296797,722,Yes,Yes,Yes,No,63,Medium,3,70,50,75,70,75,Insurance,Medium,Medium Value
C0079,45,Male,Salaried,142417,Pune,492259,722,Yes,Yes,No,Yes,33,Low,3,50,100,70,70,100,Investment,High,High Value
C0080,27,Female,Salaried,55338,Bangalore,187169,673,No,No,Yes,Yes,39,Medium,2,55,0,25,75,75,Loan,Medium,Medium Value
C0081,29,Female,Business,82101,Mumbai,187520,647,Yes,Yes,No,Yes,48,Medium,3,45,55,45,45,55,Investment,Medium,Medium Value
C0082,44,Female,Self-Employed,37775,Mumbai,50343,692,No,No,Yes,No,12,Low,1,30,20,55,30,55,Insurance,Medium,Emerging
C0083,21,Female,Business,161497,Hyderabad,343367,674,No,Yes,No,Yes,67,Medium,2,45,80,25,75,80,Investment,High,High Value
C0084,28,Female,Self-Employed,80619,Hyderabad,328073,699,Yes,Yes,Yes,Yes,27,Low,4,25,50,45,25,50,Investment,Medium,Medium Value
C0085,44,Female,Salaried,75838,Chennai,279408,701,No,No,Yes,No,39,Low,1,80,70,80,75,80,Credit Card,High,Medium Value
C0086,31,Female,Salaried,49539,Bangalore,207273,663,Yes,Yes,No,Yes,6,Low,3,25,75,45,0,75,Investment,Medium,Medium Value
C0087,37,Female,Self-Employed,92124,Hyderabad,484823,701,No,Yes,Yes,Yes,54,Low,3,70,70,50,75,75,Loan,Medium,Medium Value
C0088,28,Female,Business,115149,Hyderabad,334602,694,No,No,No,No,53,Medium,0,75,80,55,75,80,Investment,High,High Value
C0089,55,Female,Salaried,56616,Delhi,74724,684,Yes,No,No,Yes,32,Medium,2,55,50,70,45,70,Insurance,Medium,Medium Value
C0090,55,Male,Business,235639,Bangalore,241719,792,No,No,Yes,No,86,High,1,100,70,80,100,100,Credit Card,High,Medium Value
C0091,53,Male,Self-Employed,96799,Chennai,209145,669,No,No,Yes,Yes,15,Low,2,55,70,50,55,70,Investment,Medium,Medium Value
C0092,25,Male,Business,140221,Hyderabad,686255,735,No,Yes,Yes,No,65,Medium,2,70,50,55,100,100,Loan,High,High Value
C0093,59,Male,Business,164879,Chennai,521057,778,No,No,Yes,No,41,Low,1,100,70,80,100,100,Credit Card,High,High Value
C0094,48,Female,Salaried,55479,Pune,72680,680,Yes,No,No,No,34,Low,1,55,50,100,45,100,Insurance,High,Medium Value
C0095,27,Female,Business,227244,Chennai,581083,743,No,Yes,Yes,Yes,73,High,3,70,50,25,100,100,Loan,High,High Value
C0096,29,Female,Business,149165,Mumbai,540960,787,Yes,No,No,No,32,Medium,1,80,80,75,70,80,Credit Card,High,High Value
C0097,28,Male,Self-Employed,90863,Mumbai,325166,693,Yes,No,Yes,Yes,34,Low,3,55,50,45,45,55,Credit Card,Medium,Medium Value
C0098,32,Female,Self-Employed,117569,Chennai,196401,710,Yes,Yes,No,Yes,61,High,3,70,75,70,45,75,Investment,Medium,Medium Value
C0099,54,Female,Self-Employed,51351,Mumbai,284417,678,Yes,No,No,Yes,5,Low,2,55,75,70,25,75,Investment,Medium,Medium Value
C0100,53,Female,Salaried,34131,Pune,105413,675,No,No,No,Yes,36,Low,1,30,50,25,50,50,Investment,Medium,Emerging
C0101,43,Female,Business,94825,Bangalore,162112,682,No,Yes,Yes,Yes,45,Low,3,45,45,50,75,75,Loan,Medium,Medium Value
C0102,44,Female,Self-Employed,46349,Mumbai,220253,673,No,Yes,No,Yes,19,Low,2,25,75,25,30,75,Investment,Medium,Medium Value
C0103,57,Male,Business,242003,Mumbai,326756,794,Yes,Yes,Yes,Yes,84,High,4,70,70,70,70,70,Credit Card,Medium,High Value
C0104,55,Female,Self-Employed,79254,Chennai,374604,673,No,Yes,Yes,No,24,Low,2,25,70,80,55,80,Insurance,High,Medium Value
C0105,60,Male,Self-Employed,73225,Pune,354166,668,No,Yes,Yes,Yes,33,Medium,3,25,70,50,75,75,Loan,Medium,Medium Value
C0106,42,Male,Salaried,134383,Bangalore,501931,703,Yes,No,No,Yes,63,Low,2,100,100,70,45,100,Credit Card,High,High Value
C0107,47,Female,Business,62453,Chennai,237828,643,Yes,No,No,No,14,Low,1,55,75,100,25,100,Insurance,High,Medium Value
C0108,55,Male,Salaried,48814,Chennai,81880,648,No,No,No,No,6,Low,0,55,50,55,30,55,Credit Card,Medium,Emerging
C0109,21,Female,Salaried,48263,Delhi,254926,647,No,No,Yes,No,14,Low,1,55,25,30,30,55,Credit Card,Medium,Medium Value
C0110,55,Male,Business,127694,Pune,398460,708,No,No,No,No,68,Medium,0,100,100,80,75,100,Credit Card,High,High Value
C0111,57,Female,Self-Employed,50735,Bangalore,223249,695,No,No,No,Yes,5,Low,1,55,75,50,55,75,Investment,Medium,Medium Value
C0112,34,Male,Salaried,45830,Pune,246544,711,No,Yes,Yes,No,34,Low,2,50,45,55,50,55,Insurance,Medium,Medium Value
C0113,23,Female,Salaried,77893,Bangalore,382800,685,Yes,No,Yes,No,29,Medium,2,55,50,75,25,75,Insurance,Medium,Medium Value
C0114,21,Female,Business,225745,Pune,951842,771,No,Yes,No,No,59,Medium,1,70,80,55,100,100,Loan,High,High Value
C0115,25,Male,Salaried,119462,Chennai,260334,712,Yes,Yes,No,No,37,Low,2,50,80,75,45,80,Investment,High,Medium Value
C0116,46,Female,Salaried,75066,Chennai,351862,619,No,Yes,Yes,Yes,37,Low,3,25,70,50,75,75,Loan,Medium,Medium Value
C0117,34,Female,Salaried,130315,Hyderabad,418125,675,No,No,No,No,75,High,0,75,100,80,75,100,Investment,High,High Value
C0118,59,Male,Salaried,33373,Mumbai,147571,684,No,Yes,No,Yes,5,Low,2,0,50,25,30,50,Investment,Medium,Emerging
C0119,47,Male,Salaried,40335,Delhi,147987,690,No,Yes,No,No,5,Low,1,25,50,55,30,55,Insurance,Medium,Emerging
C0120,29,Male,Salaried,53741,Pune,106919,696,No,No,No,No,5,Low,0,55,30,55,55,55,Credit Card,Medium,Medium Value
C0121,35,Male,Salaried,40692,Delhi,85489,659,No,No,No,No,32,Low,0,55,50,55,50,55,Credit Card,Medium,Emerging
C0122,35,Female,Self-Employed,80541,Hyderabad,232332,625,No,No,No,No,5,Low,0,55,100,80,55,100,Investment,High,Medium Value
C0123,46,Female,Business,215129,Mumbai,898867,721,No,Yes,Yes,No,103,High,2,70,70,80,100,100,Loan,High,High Value
C0124,33,Male,Business,116983,Pune,303162,677,No,Yes,Yes,No,62,Medium,2,45,70,80,75,80,Insurance,High,High Value
C0125,52,Male,Salaried,49583,Bangalore,190134,688,Yes,No,No,Yes,21,Low,2,55,50,45,0,55,Credit Card,Medium,Medium Value
C0126,59,Female,Salaried,52765,Mumbai,138785,660,No,Yes,No,No,10,Low,1,25,50,80,55,80,Insurance,High,Medium Value
C0127,52,Male,Business,240359,Chennai,1038177,816,No,Yes,Yes,No,91,High,2,70,70,80,100,100,Loan,High,High Value
C0128,24,Male,Salaried,53906,Hyderabad,151890,715,Yes,Yes,No,Yes,29,Medium,3,50,30,45,25,50,Credit Card,Medium,Medium Value
C0129,50,Female,Salaried,115103,Mumbai,114336,752,No,No,Yes,No,50,Medium,1,100,45,80,100,100,Credit Card,High,Medium Value
C0130,57,Female,Business,227597,Mumbai,371380,731,No,Yes,Yes,No,111,High,2,70,70,80,100,100,Loan,High,High Value
C0131,43,Female,Business,219302,Chennai,253517,769,No,Yes,No,No,78,High,1,70,100,80,100,100,Investment,High,Medium Value
C0132,59,Female,Salaried,147904,Pune,446393,704,Yes,No,Yes,Yes,36,Medium,3,80,70,70,45,80,Credit Card,High,High Value
C0133,35,Male,Salaried,49520,Bangalore,95247,679,No,Yes,No,No,5,Low,1,25,50,55,30,55,Insurance,Medium,Emerging
C0134,49,Female,Business,233006,Chennai,378855,737,No,Yes,No,No,62,Medium,1,70,100,80,100,100,Investment,High,High Value
C0135,56,Male,Salaried,55566,Bangalore,266019,709,Yes,No,No,Yes,23,Low,2,80,75,70,25,80,Credit Card,High,Medium Value
C0136,33,Male,Business,123193,Pune,519869,683,Yes,Yes,Yes,No,42,Medium,3,45,70,100,45,100,Insurance,High,High Value
C0137,52,Male,Business,211206,Mumbai,594393,692,Yes,Yes,No,Yes,79,High,3,45,100,70,45,100,Investment,High,High Value
C0138,27,Male,Student,20345,Bangalore,102366,716,No,No,No,No,5,Low,0,55,30,30,30,55,Credit Card,Medium,Emerging
C0139,42,Female,Salaried,71185,Hyderabad,84814,693,No,Yes,Yes,No,10,Low,2,25,45,80,55,80,Insurance,High,Medium Value
C0140,48,Male,Self-Employed,165956,Hyderabad,573146,696,Yes,Yes,Yes,No,71,High,3,45,70,100,45,100,Insurance,High,High Value
C0141,22,Male,Business,120744,Chennai,419794,700,Yes,No,Yes,No,8,Low,2,80,50,75,25,80,Credit Card,High,High Value
C0142,26,Male,Salaried,63455,Pune,166921,659,Yes,No,No,Yes,11,Low,2,55,30,45,25,55,Credit Card,Medium,Medium Value
C0143,48,Male,Salaried,145217,Chennai,369553,717,No,Yes,No,Yes,66,Medium,2,70,100,50,75,100,Investment,High,High Value
C0144,48,Female,Business,209090,Chennai,600218,773,Yes,Yes,No,No,64,Medium,2,70,100,100,70,100,Investment,High,High Value
C0145,40,Male,Salaried,84219,Delhi,183839,706,Yes,No,Yes,Yes,37,Medium,3,80,45,70,45,80,Credit Card,High,Medium Value
C0146,50,Female,Salaried,75991,Chennai,291688,690,Yes,No,Yes,Yes,16,Low,3,55,70,70,25,70,Investment,Medium,Medium Value
C0147,31,Male,Salaried,103616,Delhi,173473,697,No,No,No,Yes,32,Low,1,55,75,50,75,75,Investment,Medium,Medium Value
C0148,48,Female,Self-Employed,122438,Hyderabad,252046,738,Yes,No,Yes,Yes,54,High,3,100,70,70,70,100,Credit Card,High,Medium Value
C0149,45,Female,Self-Employed,151841,Hyderabad,253514,663,Yes,No,No,No,37,Low,1,55,100,100,45,100,Investment,High,Medium Value
C0150,59,Male,Business,190558,Chennai,414328,718,No,Yes,No,No,82,High,1,70,100,80,75,100,Investment,High,High Value
C0151,53,Female,Salaried,68862,Hyderabad,247343,650,Yes,Yes,No,Yes,26,Low,3,25,75,70,25,75,Investment,Medium,Medium Value
C0152,21,Male,Salaried,88870,Pune,120694,719,Yes,Yes,No,Yes,52,Medium,3,70,55,45,45,70,Credit Card,Medium,Medium Value
C0153,47,Male,Business,136694,Delhi,600223,691,No,No,Yes,Yes,54,Medium,2,75,70,50,75,75,Credit Card,Medium,High Value
C0154,33,Female,Salaried,135996,Delhi,294114,674,No,No,Yes,Yes,35,Medium,2,55,70,50,75,75,Loan,Medium,Medium Value
C0155,23,Male,Salaried,73856,Chennai,120234,698,No,No,No,Yes,53,High,1,75,55,25,75,75,Credit Card,Medium,Medium Value
C0156,59,Male,Business,151407,Hyderabad,582398,693,Yes,Yes,Yes,Yes,42,Low,4,45,70,70,45,70,Investment,Medium,High Value
C0157,26,Female,Student,12440,Bangalore,5000,640,No,No,No,No,5,Low,0,30,30,30,30,30,No Immediate Opportunity,Low,Emerging
C0158,28,Male,Business,81379,Delhi,313949,757,Yes,No,No,No,44,Medium,1,100,80,75,70,100,Credit Card,High,Medium Value
C0159,47,Female,Business,114729,Chennai,419128,726,No,No,No,Yes,14,Low,1,80,100,50,80,100,Investment,High,High Value
C0160,29,Male,Student,17124,Chennai,6556,647,No,Yes,No,No,28,Low,1,0,30,30,30,30,No Immediate Opportunity,Low,Emerging
C0161,57,Female,Salaried,84353,Pune,108987,683,No,No,Yes,No,14,Low,1,55,45,80,55,80,Insurance,High,Medium Value
C0162,53,Female,Business,231068,Mumbai,591786,788,No,Yes,Yes,Yes,79,High,3,70,70,50,100,100,Loan,High,High Value
C0163,44,Female,Student,24031,Mumbai,37081,676,No,No,Yes,Yes,13,Low,2,30,20,25,30,30,No Immediate Opportunity,Low,Emerging
C0164,35,Female,Salaried,110072,Delhi,170057,702,Yes,No,Yes,Yes,40,Medium,3,100,45,70,45,100,Credit Card,High,Medium Value
C0165,52,Male,Business,115982,Pune,273026,706,No,Yes,Yes,Yes,55,High,3,70,70,50,75,75,Loan,Medium,Medium Value
C0166,52,Female,Business,86683,Pune,214024,643,Yes,No,No,No,8,Low,1,55,100,100,25,100,Investment,High,Medium Value
C0167,44,Male,Business,164091,Pune,512562,676,No,Yes,Yes,No,72,Medium,2,45,70,80,75,80,Insurance,High,High Value
C0168,32,Male,Business,167797,Delhi,614502,723,Yes,No,Yes,Yes,75,High,3,100,70,70,70,100,Credit Card,High,High Value
C0169,59,Male,Self-Employed,41587,Mumbai,162094,646,No,Yes,Yes,No,31,Medium,2,25,20,55,50,55,Insurance,Medium,Medium Value
C0170,22,Male,Self-Employed,97790,Pune,172408,711,Yes,No,Yes,No,12,Low,2,80,25,75,25,80,Credit Card,High,Medium Value
C0171,23,Male,Salaried,61480,Hyderabad,112170,681,Yes,No,Yes,Yes,5,Low,3,55,0,45,25,55,Credit Card,Medium,Medium Value
C0172,57,Female,Self-Employed,58569,Chennai,257903,651,Yes,Yes,Yes,Yes,16,Low,4,25,45,70,25,70,Insurance,Medium,Medium Value
C0173,37,Female,Salaried,41151,Chennai,131530,670,Yes,No,No,No,5,Low,1,55,50,75,0,75,Insurance,Medium,Emerging
C0174,22,Female,Salaried,101094,Bangalore,449925,683,No,No,No,No,10,Low,0,55,80,55,55,80,Investment,High,High Value
C0175,22,Male,Salaried,89174,Bangalore,215495,751,No,Yes,Yes,No,27,Medium,2,50,50,55,80,80,Loan,High,Medium Value
C0176,48,Female,Salaried,74739,Delhi,246394,693,No,No,Yes,No,31,Medium,1,55,70,80,75,80,Insurance,High,Medium Value
C0177,43,Male,Salaried,62954,Delhi,200124,629,Yes,No,Yes,Yes,65,Medium,3,75,45,70,45,75,Credit Card,Medium,Medium Value
C0178,57,Male,Self-Employed,144373,Chennai,315737,771,Yes,No,No,Yes,62,High,2,100,100,70,70,100,Credit Card,High,High Value
C0179,52,Male,Business,216375,Hyderabad,626634,734,No,No,Yes,Yes,107,High,2,100,70,50,100,100,Credit Card,High,High Value
C0180,53,Male,Business,84700,Mumbai,212946,658,No,No,No,Yes,31,Low,1,55,100,50,75,100,Investment,High,Medium Value
C0181,21,Female,Salaried,123036,Mumbai,209846,770,Yes,Yes,No,No,54,Medium,2,70,80,75,70,80,Investment,High,Medium Value
C0182,39,Female,Self-Employed,158728,Delhi,380698,734,No,No,No,No,57,Medium,0,100,100,80,100,100,Credit Card,High,High Value
C0183,22,Male,Self-Employed,101788,Hyderabad,406003,716,No,Yes,Yes,No,78,High,2,70,50,55,75,75,Loan,Medium,High Value
C0184,46,Male,Self-Employed,106045,Delhi,506346,720,No,Yes,Yes,No,29,Low,2,50,70,80,80,80,Insurance,High,High Value
C0185,52,Male,Salaried,67842,Mumbai,149132,672,Yes,No,Yes,Yes,17,Low,3,55,20,70,25,70,Insurance,Medium,Medium Value
C0186,26,Male,Salaried,43900,Delhi,113320,649,Yes,No,Yes,Yes,28,Medium,3,55,0,20,0,55,Credit Card,Medium,Emerging
C0187,52,Female,Salaried,110059,Pune,190049,687,No,No,Yes,Yes,44,Medium,2,75,45,50,75,75,Credit Card,Medium,Medium Value
C0188,24,Male,Salaried,31881,Delhi,111671,709,No,No,No,No,5,Low,0,55,30,30,30,55,Credit Card,Medium,Emerging
C0189,31,Male,Salaried,63037,Chennai,145592,682,Yes,Yes,No,Yes,38,Low,3,25,50,70,45,70,Insurance,Medium,Medium Value
C0190,37,Male,Self-Employed,167702,Delhi,803423,768,Yes,No,Yes,No,62,Medium,2,100,70,100,70,100,Credit Card,High,High Value
C0191,58,Female,Salaried,50789,Chennai,136395,668,No,No,No,No,18,Low,0,55,50,80,55,80,Insurance,High,Medium Value
C0192,44,Female,Salaried,118059,Hyderabad,330252,681,No,No,No,Yes,47,Low,1,75,100,50,75,100,Investment,High,High Value
C0193,25,Female,Salaried,113494,Mumbai,380192,658,Yes,Yes,Yes,Yes,16,Low,4,25,50,45,25,50,Investment,Medium,High Value
C0194,54,Female,Salaried,76151,Bangalore,330831,702,No,Yes,Yes,No,5,Low,2,50,70,80,55,80,Insurance,High,Medium Value
C0195,26,Male,Salaried,78920,Bangalore,242715,735,No,No,Yes,Yes,45,Low,2,100,50,25,100,100,Credit Card,High,Medium Value
C0196,42,Male,Salaried,139388,Mumbai,373215,688,No,No,No,No,42,Medium,0,75,100,80,75,100,Investment,High,High Value
C0197,31,Female,Salaried,97231,Bangalore,462293,709,Yes,Yes,Yes,Yes,34,Low,4,50,70,70,45,70,Investment,Medium,Medium Value
